iter	Passed	Remaining
0	165	165007
1	168	84072
2	170	56670
3	171	42716
4	172	34383
5	175	28998
6	177	25248
7	180	22377
8	181	20010
9	182	18113
10	184	16556
11	185	15287
12	186	14179
13	187	13232
14	189	12423
15	190	11718
16	191	11086
17	193	10557
18	195	10069
19	196	9612
20	197	9194
21	198	8812
22	199	8463
23	200	8159
24	202	7904
25	203	7640
26	205	7394
27	206	7180
28	208	6978
29	210	6791
30	211	6610
31	213	6457
32	215	6324
33	217	6176
34	218	6035
35	221	5940
36	223	5810
37	224	5680
38	225	5557
39	226	5439
40	228	5350
41	230	5250
42	231	5154
43	236	5140
44	238	5057
45	240	4982
46	241	4898
47	243	4824
48	244	4748
49	246	4681
50	248	4618
51	250	4559
52	251	4500
53	253	4437
54	254	4375
55	256	4315
56	258	4275
57	261	4250
58	263	4199
59	265	4154
60	268	4129
61	269	4082
62	271	4034
63	272	3986
64	275	3957
65	276	3916
66	278	3878
67	282	3870
68	284	3836
69	286	3803
70	288	3777
71	291	3755
72	295	3746
73	298	3735
74	300	3709
75	302	3677
76	312	3743
77	313	3706
78	314	3671
79	316	3637
80	318	3609
81	321	3594
82	322	3558
83	325	3546
84	327	3522
85	331	3525
86	334	3513
87	341	3537
88	343	3520
89	345	3497
90	347	3471
91	351	3464
92	353	3443
93	355	3424
94	356	3398
95	358	3373
96	359	3349
97	361	3325
98	363	3304
99	365	3286
100	367	3268
101	369	3256
102	371	3235
103	373	3217
104	375	3199
105	380	3206
106	382	3189
107	384	3173
108	386	3156
109	387	3136
110	389	3117
111	397	3150
112	398	3131
113	401	3123
114	403	3108
115	405	3090
116	407	3072
117	409	3059
118	411	3045
119	413	3029
120	415	3015
121	416	2995
122	418	2983
123	420	2971
124	422	2959
125	424	2946
126	426	2930
127	427	2913
128	429	2898
129	430	2883
130	432	2870
131	434	2854
132	437	2853
133	439	2841
134	441	2827
135	442	2811
136	443	2794
137	445	2780
138	446	2766
139	448	2752
140	449	2737
141	450	2721
142	451	2708
143	453	2693
144	454	2678
145	455	2662
146	456	2647
147	457	2632
148	459	2622
149	460	2610
150	462	2598
151	463	2585
152	464	2573
153	466	2562
154	468	2551
155	469	2540
156	472	2537
157	474	2528
158	476	2518
159	478	2511
160	479	2497
161	480	2485
162	481	2474
163	482	2462
164	484	2450
165	485	2440
166	487	2429
167	488	2420
168	489	2408
169	490	2397
170	492	2387
171	493	2378
172	495	2368
173	496	2359
174	498	2350
175	500	2344
176	502	2334
177	503	2325
178	505	2316
179	507	2310
180	508	2302
181	510	2296
182	515	2299
183	517	2292
184	518	2284
185	520	2275
186	523	2275
187	525	2269
188	527	2262
189	529	2255
190	531	2250
191	532	2242
192	534	2235
193	537	2231
194	539	2225
195	541	2222
196	543	2215
197	544	2206
198	546	2198
199	547	2189
200	548	2180
201	552	2183
202	563	2211
203	565	2206
204	568	2204
205	570	2200
206	572	2194
207	574	2187
208	575	2179
209	577	2171
210	579	2167
211	581	2161
212	583	2155
213	584	2147
214	586	2140
215	588	2134
216	590	2129
217	591	2123
218	596	2128
219	599	2124
220	601	2118
221	603	2113
222	606	2112
223	607	2106
224	609	2100
225	611	2095
226	613	2088
227	615	2083
228	616	2077
229	618	2069
230	619	2062
231	621	2057
232	623	2053
233	625	2046
234	626	2039
235	627	2032
236	630	2028
237	631	2022
238	632	2015
239	634	2009
240	641	2020
241	643	2015
242	645	2010
243	646	2003
244	648	1997
245	649	1989
246	650	1982
247	652	1977
248	653	1972
249	655	1965
250	656	1959
251	657	1952
252	659	1946
253	660	1939
254	661	1933
255	662	1926
256	663	1919
257	665	1913
258	666	1907
259	668	1902
260	669	1896
261	670	1889
262	672	1883
263	673	1877
264	674	1870
265	675	1865
266	677	1858
267	678	1852
268	679	1847
269	685	1854
270	687	1850
271	690	1847
272	691	1842
273	692	1836
274	694	1830
275	695	1825
276	697	1819
277	699	1816
278	701	1813
279	703	1808
280	704	1802
281	705	1796
282	706	1790
283	707	1784
284	709	1779
285	711	1776
286	713	1773
287	715	1767
288	716	1763
289	717	1757
290	718	1751
291	720	1746
292	721	1740
293	722	1735
294	723	1729
295	726	1727
296	727	1723
297	729	1718
298	730	1713
299	732	1708
300	733	1703
301	734	1698
302	736	1693
303	744	1705
304	746	1701
305	747	1696
306	749	1690
307	752	1691
308	754	1687
309	756	1683
310	757	1677
311	758	1672
312	759	1667
313	761	1663
314	763	1659
315	764	1654
316	766	1650
317	767	1645
318	768	1641
319	770	1636
320	771	1632
321	772	1627
322	773	1621
323	774	1616
324	776	1612
325	777	1608
326	780	1606
327	782	1603
328	784	1600
329	786	1596
330	787	1592
331	788	1587
332	790	1582
333	791	1577
334	792	1574
335	794	1570
336	797	1568
337	799	1565
338	800	1561
339	802	1557
340	803	1552
341	804	1547
342	805	1542
343	806	1537
344	807	1533
345	809	1530
346	811	1526
347	812	1522
348	814	1518
349	815	1514
350	818	1512
351	819	1509
352	821	1505
353	823	1503
354	825	1499
355	827	1496
356	829	1494
357	831	1490
358	832	1487
359	834	1483
360	835	1479
361	838	1477
362	839	1473
363	841	1469
364	842	1466
365	844	1462
366	846	1459
367	848	1456
368	849	1452
369	853	1453
370	857	1453
371	859	1450
372	861	1447
373	864	1446
374	866	1443
375	868	1441
376	870	1438
377	872	1435
378	874	1432
379	876	1429
380	878	1426
381	880	1423
382	882	1422
383	884	1419
384	886	1416
385	889	1414
386	891	1411
387	893	1408
388	895	1406
389	898	1405
390	901	1403
391	904	1402
392	905	1399
393	909	1398
394	911	1396
395	914	1394
396	916	1391
397	918	1388
398	919	1385
399	921	1382
400	923	1379
401	925	1377
402	928	1374
403	930	1372
404	932	1369
405	934	1367
406	936	1364
407	938	1361
408	940	1359
409	943	1357
410	948	1359
411	951	1357
412	953	1354
413	956	1353
414	958	1351
415	960	1348
416	962	1345
417	964	1343
418	966	1340
419	971	1341
420	975	1341
421	977	1339
422	979	1336
423	982	1334
424	984	1331
425	986	1329
426	988	1327
427	993	1327
428	995	1324
429	996	1321
430	999	1318
431	1001	1316
432	1003	1314
433	1005	1311
434	1007	1308
435	1009	1306
436	1011	1303
437	1013	1300
438	1015	1297
439	1017	1294
440	1018	1290
441	1020	1288
442	1023	1286
443	1028	1287
444	1030	1284
445	1031	1281
446	1035	1281
447	1037	1278
448	1038	1274
449	1041	1272
450	1044	1271
451	1048	1270
452	1050	1268
453	1051	1264
454	1056	1265
455	1058	1262
456	1062	1262
457	1064	1259
458	1065	1256
459	1067	1252
460	1068	1249
461	1070	1246
462	1072	1243
463	1074	1240
464	1075	1237
465	1077	1235
466	1079	1232
467	1081	1229
468	1082	1225
469	1087	1226
470	1089	1224
471	1092	1221
472	1093	1218
473	1095	1216
474	1097	1212
475	1098	1209
476	1104	1211
477	1106	1208
478	1108	1205
479	1109	1202
480	1111	1198
481	1112	1195
482	1118	1197
483	1121	1195
484	1122	1192
485	1124	1189
486	1129	1189
487	1135	1191
488	1137	1188
489	1138	1185
490	1140	1182
491	1143	1181
492	1148	1180
493	1150	1178
494	1152	1175
495	1154	1172
496	1155	1169
497	1157	1167
498	1160	1164
499	1162	1162
500	1164	1159
501	1175	1165
502	1176	1162
503	1178	1159
504	1179	1156
505	1181	1153
506	1184	1151
507	1186	1149
508	1188	1146
509	1190	1143
510	1191	1140
511	1194	1138
512	1198	1137
513	1199	1134
514	1202	1132
515	1204	1129
516	1206	1126
517	1207	1123
518	1209	1120
519	1211	1118
520	1213	1115
521	1216	1114
522	1219	1112
523	1220	1109
524	1222	1105
525	1223	1102
526	1225	1099
527	1226	1096
528	1228	1093
529	1229	1090
530	1231	1087
531	1234	1085
532	1235	1082
533	1237	1080
534	1239	1077
535	1240	1073
536	1241	1070
537	1243	1067
538	1245	1065
539	1246	1062
540	1248	1059
541	1250	1056
542	1252	1053
543	1253	1050
544	1255	1047
545	1256	1044
546	1257	1041
547	1258	1038
548	1260	1035
549	1262	1032
550	1264	1030
551	1265	1027
552	1267	1024
553	1268	1021
554	1270	1018
555	1271	1015
556	1272	1012
557	1274	1009
558	1275	1006
559	1276	1003
560	1278	1000
561	1280	998
562	1282	995
563	1283	992
564	1285	989
565	1286	986
566	1292	986
567	1293	984
568	1295	981
569	1297	978
570	1298	975
571	1300	972
572	1301	969
573	1303	967
574	1305	964
575	1307	962
576	1309	959
577	1310	956
578	1312	954
579	1313	951
580	1315	948
581	1318	946
582	1321	944
583	1323	942
584	1325	940
585	1327	937
586	1328	934
587	1330	932
588	1334	931
589	1337	929
590	1339	927
591	1341	924
592	1342	921
593	1344	918
594	1346	916
595	1349	914
596	1351	912
597	1353	909
598	1355	907
599	1356	904
600	1358	901
601	1360	899
602	1363	897
603	1365	894
604	1367	892
605	1369	890
606	1370	887
607	1372	884
608	1374	882
609	1377	880
610	1378	877
611	1380	875
612	1382	872
613	1384	870
614	1386	867
615	1388	865
616	1389	862
617	1393	861
618	1395	859
619	1397	856
620	1399	854
621	1401	851
622	1403	849
623	1405	847
624	1407	844
625	1410	842
626	1411	839
627	1413	837
628	1415	834
629	1417	832
630	1419	830
631	1423	828
632	1424	826
633	1426	823
634	1428	821
635	1431	819
636	1434	817
637	1436	815
638	1440	813
639	1442	811
640	1444	808
641	1445	805
642	1446	803
643	1449	801
644	1453	800
645	1455	797
646	1457	794
647	1458	792
648	1462	791
649	1466	789
650	1469	787
651	1470	784
652	1472	782
653	1473	779
654	1475	777
655	1478	775
656	1480	772
657	1481	770
658	1484	768
659	1485	765
660	1487	762
661	1488	760
662	1490	757
663	1492	755
664	1493	752
665	1495	749
666	1496	747
667	1497	744
668	1499	741
669	1500	738
670	1501	736
671	1502	733
672	1503	730
673	1504	727
674	1506	725
675	1508	722
676	1509	720
677	1511	717
678	1512	715
679	1513	712
680	1515	709
681	1516	707
682	1518	704
683	1519	701
684	1521	699
685	1522	697
686	1524	694
687	1526	692
688	1527	689
689	1528	686
690	1530	684
691	1531	681
692	1532	679
693	1539	678
694	1541	676
695	1542	673
696	1544	671
697	1545	668
698	1546	666
699	1548	663
700	1549	660
701	1551	658
702	1554	656
703	1555	653
704	1556	651
705	1560	649
706	1562	647
707	1563	644
708	1565	642
709	1568	640
710	1571	638
711	1572	636
712	1573	633
713	1574	630
714	1576	628
715	1577	625
716	1579	623
717	1580	620
718	1582	618
719	1583	615
720	1584	613
721	1586	610
722	1587	608
723	1588	605
724	1589	603
725	1590	600
726	1592	597
727	1594	595
728	1597	593
729	1598	591
730	1600	589
731	1602	586
732	1604	584
733	1605	581
734	1606	579
735	1608	576
736	1609	574
737	1611	571
738	1612	569
739	1613	566
740	1614	564
741	1615	561
742	1616	559
743	1618	556
744	1619	554
745	1620	551
746	1622	549
747	1624	547
748	1627	545
749	1628	542
750	1629	540
751	1631	537
752	1633	535
753	1634	533
754	1638	531
755	1639	529
756	1641	526
757	1643	524
758	1644	522
759	1645	519
760	1647	517
761	1649	515
762	1657	514
763	1662	513
764	1664	511
765	1665	508
766	1667	506
767	1669	504
768	1670	501
769	1671	499
770	1672	496
771	1674	494
772	1675	492
773	1677	489
774	1678	487
775	1680	485
776	1682	482
777	1683	480
778	1684	477
779	1685	475
780	1686	472
781	1687	470
782	1689	468
783	1690	465
784	1691	463
785	1692	460
786	1693	458
787	1695	456
788	1697	454
789	1699	451
790	1701	449
791	1702	447
792	1703	444
793	1705	442
794	1706	439
795	1707	437
796	1709	435
797	1711	433
798	1713	430
799	1714	428
800	1715	426
801	1717	423
802	1717	421
803	1718	419
804	1720	416
805	1721	414
806	1722	411
807	1724	409
808	1726	407
809	1727	405
810	1729	402
811	1730	400
812	1731	398
813	1732	395
814	1733	393
815	1734	391
816	1735	388
817	1737	386
818	1748	386
819	1750	384
820	1751	381
821	1752	379
822	1757	378
823	1759	375
824	1760	373
825	1762	371
826	1763	368
827	1764	366
828	1765	364
829	1766	361
830	1768	359
831	1770	357
832	1772	355
833	1773	353
834	1774	350
835	1775	348
836	1776	346
837	1778	343
838	1779	341
839	1782	339
840	1787	337
841	1789	335
842	1790	333
843	1791	331
844	1793	328
845	1794	326
846	1796	324
847	1802	323
848	1804	320
849	1805	318
850	1806	316
851	1808	314
852	1809	311
853	1810	309
854	1813	307
855	1815	305
856	1817	303
857	1819	301
858	1821	299
859	1823	296
860	1825	294
861	1827	292
862	1829	290
863	1831	288
864	1833	286
865	1834	283
866	1836	281
867	1842	280
868	1843	277
869	1845	275
870	1847	273
871	1848	271
872	1850	269
873	1852	267
874	1857	265
875	1858	263
876	1860	260
877	1861	258
878	1864	256
879	1867	254
880	1869	252
881	1871	250
882	1872	248
883	1874	246
884	1876	243
885	1877	241
886	1879	239
887	1884	237
888	1886	235
889	1888	233
890	1889	231
891	1891	228
892	1892	226
893	1894	224
894	1896	222
895	1899	220
896	1901	218
897	1904	216
898	1908	214
899	1910	212
900	1914	210
901	1916	208
902	1918	206
903	1920	203
904	1922	201
905	1923	199
906	1935	198
907	1936	196
908	1938	194
909	1939	191
910	1942	189
911	1944	187
912	1945	185
913	1946	183
914	1948	180
915	1949	178
916	1950	176
917	1952	174
918	1953	172
919	1955	170
920	1957	167
921	1959	165
922	1961	163
923	1962	161
924	1964	159
925	1965	157
926	1966	154
927	1968	152
928	1970	150
929	1972	148
930	1974	146
931	1976	144
932	1977	141
933	1978	139
934	1979	137
935	1981	135
936	1982	133
937	1985	131
938	1986	129
939	1987	126
940	1989	124
941	1990	122
942	1991	120
943	1992	118
944	1993	116
945	1994	113
946	1995	111
947	1996	109
948	1998	107
949	1999	105
950	2001	103
951	2004	101
952	2006	98
953	2007	96
954	2008	94
955	2009	92
956	2012	90
957	2014	88
958	2016	86
959	2018	84
960	2019	81
961	2020	79
962	2022	77
963	2023	75
964	2024	73
965	2026	71
966	2027	69
967	2029	67
968	2031	64
969	2033	62
970	2035	60
971	2036	58
972	2037	56
973	2038	54
974	2039	52
975	2040	50
976	2042	48
977	2045	46
978	2047	43
979	2049	41
980	2050	39
981	2051	37
982	2052	35
983	2053	33
984	2054	31
985	2055	29
986	2057	27
987	2058	25
988	2060	22
989	2061	20
990	2062	18
991	2063	16
992	2064	14
993	2065	12
994	2066	10
995	2067	8
996	2068	6
997	2068	4
998	2069	2
999	2072	0
